,Resort,Country,HighestPoint,LowestPoint,DayPassPriceAdult,BeginnerSlope,IntermediateSlope,DifficultSlope,TotalSlope,Snowparks,NightSki,SurfaceLifts,ChairLifts,GondolaLifts,TotalLifts,LiftCapacity,SnowCannons
1,Alpendorf (Ski amedé),Austria,1980.0,740.0,52.0,30.0,81,4.0,115,Yes,No,22.0,16,11.0,49,75398.0,600.0
2,Soldeu-Pas de la Casa/​Grau Roig/​El Tarter/​Canillo/​Encamp (Grandvalira),Andorra,2640.0,1710.0,47.0,100.0,77,33.0,210,Yes,Yes,37.0,28,7.0,72,99017.0,1032.0
3,Oberau (Wildschönau),Austria,1130.0,900.0,30.0,1.0,0,1.0,2,No,No,2.0,0,0.0,2,1932.0,0.0
4,Dachstein West,Austria,1620.0,780.0,42.0,15.0,33,3.0,51,Yes,Yes,25.0,8,3.0,36,32938.0,163.0
5,Rosa Khutor,Southern Russia,2320.0,940.0,22.0,30.0,26,21.0,77,Yes,No,6.0,11,10.0,27,49228.0,450.0
6,Białka Tatrzańska-Kotelnica-​Kaniówka-​Bania,Poland,910.0,680.0,23.0,12.0,3,0.0,16,Yes,Yes,7.0,1,0.0,8,28020.0,0.0
7,Vitosha-Sofia,Bulgaria,2290.0,726.0,18.0,12.0,6,2.0,20,No,Yes,8.0,5,2.0,15,12450.0,0.0
8,Szczyrk-Skrzyczne,Poland,1257.0,524.0,20.0,22.0,7,4.0,35,No,No,11.0,4,1.0,16,22500.0,0.0
9,Jahorina,Bosnia and Herzegovina,1889.0,920.0,20.0,3.0,19,3.0,25,No,Yes,5.0,5,1.0,11,16230.0,0.0
10,Kobla-Bohinj,Slovenia,1480.0,540.0,,12.0,10,1.0,23,No,No,3.0,3,0.0,6,5720.0,30.0
11,Aillons-Margériaz,France,1785.0,1370.0,19.0,18.0,4,1.0,24,No,No,7.0,1,0.0,8,10025.0,0.0
12,Gornaya Karusel,Southern Russia,960.0,540.0,22.0,4.0,15,1.0,20,No,No,3.0,1,0.0,4,15740.0,0.0
13,Kaiseregg-​Riggisalp-Schwarzsee,Switzerland,1750.0,1050.0,34.0,14.0,5,1.0,20,Yes,Yes,11.0,3,1.0,15,5790.0,46.0
14,St. Pierre de Chartreuse-Le Planolet,France,1800.0,900.0,21.0,18.0,12,5.0,35,No,No,3.0,2,0.0,5,12610.0,35.0
15,Buchenberg-Buching-Halblech-,Germany,1140.0,810.0,25.0,2.0,4,0.0,6,No,No,2.0,1,0.0,3,2800.0,0.0
16,Méribel (Les 3 Vallées),France,3230.0,1110.0,61.0,312.0,216,72.0,600,Yes,Yes,62.0,63,40.0,165,250860.0,2383.0
17,​Les Menuires (Les 3 Vallées),France,3230.0,1110.0,61.0,312.0,216,72.0,600,Yes,Yes,62.0,63,40.0,165,250860.0,2383.0
18,Les Sybelles-Le Corbier-​La Toussuire-​Les Bottières-​St Colomban des Villards-​St Sorlin-​St Jean d’Arves,France,2620.0,1100.0,44.0,53.0,239,18.0,310,Yes,Yes,44.0,28,0.0,72,83807.0,514.0
19,Le Grand Massif-Flaine-​Les Carroz-​Morillon-​Samoëns-​Sixt,France,,694.0,47.0,135.0,95,35.0,265,Yes,No,34.0,29,9.0,72,97624.0,1100.0
20,Megève-​Saint-Gervais,France,2353.0,850.0,46.0,98.0,134,31.0,263,Yes,Yes,50.0,27,9.0,86,106362.0,888.0
21,Laax-​Flims-​Falera,Switzerland,3018.0,1100.0,68.0,88.0,81,19.0,188,Yes,No,13.0,9,11.0,33,46116.0,300.0
22,Vars-​Risoul-La Forêt Blanche,France,2750.0,1650.0,39.0,75.0,90,20.0,185,Yes,Yes,32.0,17,2.0,51,50145.0,0.0
23,Kicking Horse,France,1608.0,1500.0,39.0,56.0,93,30.0,180,Yes,No,,13,4.0,38,40680.0,281.0
24,Le Grand Domaine-Valmorel-​Doucy-​Celliers-​St François Longchamp,France,2550.0,1250.0,44.0,115.0,35,15.0,165,Yes,No,36.0,17,3.0,56,60248.0,332.0
25,Galibier Thabor-Valmeinier-​Valloire,France,2594.0,1430.0,39.0,75.0,60,15.0,150,Yes,Yes,12.0,17,2.0,31,43300.0,400.0
26,Zillertal Arena-Zell am Ziller-​Gerlos-​Königsleiten-​Hochkrimml,Austria,2500.0,580.0,52.0,43.0,89,11.0,143,Yes,No,22.0,21,13.0,56,89415.0,792.0
27,La Molina-​Masella-Alp2500,Spain,2531.0,1616.0,45.0,76.0,47,18.0,141,Yes,Yes,19.0,13,1.0,33,39750.0,1010.0
28,Auron-Saint-Etienne-de-Tinée-,France,1600.0,1150.0,34.0,60.0,45,30.0,135,Yes,No,7.0,9,3.0,19,25030.0,440.0
29,Alta Badia,Italy,2550.0,1324.0,52.0,70.0,52,8.0,130,Yes,No,18.0,30,11.0,59,89327.0,391.0
30,La Clusaz-​Manigod,France,2477.0,1040.0,37.0,62.0,40,23.0,125,Yes,Yes,28.0,14,7.0,49,59346.0,223.0
31,Espace Villard Corrençon-Villard-de-Lans-​Corrençon-en-Vercors,France,2050.0,1050.0,36.0,50.0,50,25.0,125,Yes,No,18.0,7,3.0,28,26600.0,339.0
32,Val Cenis-Lanslevillard-​Lanslebourg-​Termignon,France,2800.0,1300.0,36.0,73.0,42,10.0,125,Yes,Yes,13.0,13,2.0,28,39824.0,200.0
33,Isola 2000,France,2603.0,1800.0,34.0,75.0,35,10.0,120,Yes,Yes,12.0,7,3.0,22,21807.0,430.0
34,Obersaxen-​Mundaun-​Val Lumnezia,Switzerland,2310.0,1201.0,51.0,60.0,40,20.0,120,Yes,Yes,10.0,9,0.0,19,20720.0,297.0
35,Les 7 Laux-Prapoutel-​Le Pleynet-​Pipay,France,2400.0,1350.0,36.0,46.0,36,38.0,120,Yes,No,15.0,8,1.0,24,32232.0,200.0
36,Corvatsch-​Furtschellas,Switzerland,3303.0,1797.0,69.0,13.0,89,17.0,120,Yes,Yes,5.0,6,3.0,14,18510.0,0.0
37,Nassfeld-Hermagor,Austria,2002.0,600.0,46.0,30.0,69,11.0,110,Yes,Yes,16.0,9,5.0,30,49386.0,483.0
38,Mondolè Ski-Artesina-​Frabosa Soprana-​Prato Nevoso,Italy,807.0,803.0,33.0,42.0,51,11.0,105,Yes,Yes,19.0,14,0.0,33,26068.0,0.0
39,Aletsch Arena-Riederalp-​Bettmeralp-​Fiesch Eggishorn,Switzerland,1845.0,759.0,53.0,42.0,50,12.0,104,Yes,Yes,18.0,8,12.0,38,41109.0,258.0
40,Bad Kleinkirchheim-​St. Oswald,Austria,2055.0,1087.0,47.0,18.0,77,8.0,103,Yes,Yes,17.0,7,4.0,28,31186.0,800.0
41,Bardonecchia,Italy,2694.0,1312.0,36.0,54.0,38,8.0,100,Yes,No,13.0,9,1.0,23,27588.0,0.0
42,Saint-Lary-Soulan,France,1600.0,812.0,42.0,60.0,30,10.0,100,Yes,Yes,17.0,11,3.0,31,38733.0,290.0
43,Orcières Merlette 1850,France,2725.0,1850.0,34.0,55.0,38,7.0,100,Yes,No,20.0,7,3.0,30,29605.0,0.0
44,Dévoluy-Superdévoluy-​La Joue du Loup,France,2450.0,1450.0,36.0,60.0,30,10.0,100,Yes,No,18.0,5,1.0,24,27646.0,180.0
45,Grand Tourmalet-​Pic du Midi-La Mongie-​Barèges,France,2500.0,1250.0,42.0,58.0,35,7.0,100,Yes,No,21.0,15,2.0,38,40231.0,0.0
46,Parsenn (Davos Klosters),Switzerland,2844.0,810.0,61.0,20.0,60,16.0,96,Yes,No,4.0,6,8.0,18,26795.0,169.0
47,Åre,Sweden,1274.0,380.0,45.0,45.0,38,8.0,91,Yes,Yes,27.0,5,4.0,36,39000.0,0.0
48,Alto Sangro-Roccaraso-​Rivisondoli,Italy,2141.0,1309.0,41.0,37.0,32,20.0,90,No,No,11.0,11,4.0,26,36602.0,0.0
49,Chamrousse,France,2250.0,1400.0,34.0,45.0,35,10.0,90,Yes,Yes,8.0,7,1.0,16,24398.0,78.0
50,Valberg-​Beuil les Launes,France,2020.0,1412.0,32.0,45.0,35,10.0,90,Yes,No,,7,0.0,29,25940.0,400.0
51,Adelboden-​Lenk-Chuenisbärgli-​Silleren-​Hahnenmoos-​Metsch,Switzerland,1260.0,1072.0,55.0,44.0,38,6.0,88,Yes,Yes,12.0,8,6.0,26,34620.0,500.0
52,Rinderberg-​Saanerslochgrat-​Horneggli-Zweisimmen-​Saanenmöser-​Schönried-​St. Stephan,Switzerland,2011.0,948.0,54.0,62.0,21,4.0,88,Yes,Yes,9.0,8,4.0,21,18360.0,0.0
53,Graukogel-Bad Gastein,Austria,2007.0,1079.0,36.0,3.0,6,2.0,11,No,No,1.0,2,0.0,3,3352.0,0.0
54,Les Portes du Mont-Blanc-Combloux-​Megève le Jaillet-​La Giettaz,France,1835.0,1113.0,35.0,28.0,50,7.0,85,No,No,16.0,8,1.0,25,29842.0,0.0
55,Le Grand Bornand,France,2100.0,1000.0,37.0,49.0,27,8.0,84,Yes,Yes,18.0,13,2.0,33,36904.0,233.0
56,Kaltenbach-Hochzillertal-​Hochfügen-SKi-optimal-,Austria,2378.0,600.0,52.0,28.0,41,13.0,83,Yes,Yes,22.0,12,5.0,39,59933.0,400.0
57,Grimentz-​Zinal,Switzerland,2900.0,1570.0,51.0,26.0,28,26.0,80,Yes,No,13.0,5,3.0,21,19345.0,96.0
